10
-1  1  2  3  4  5  6  7  8  9
10 -1 11 12 13 14 15 16 17 18
19 20 -1 21 22 23 24 25 26 27
28 29 30 -1 31 32 33 34 35 36
37 38 39 40 -1 41 42 43 44 45
46 47 48 49 50 -1 51 52 53 54
55 56 57 58 59 60 -1 61 62 63
64 65 66 67 68 69 70 -1 71 72
73 74 75 76 77 78 79 80 -1 81
82 83 84 85 86 87 88 89 90 -1

10
-1  1  2  3  4  5  6  7  8  9
 1 -1 11 12 13 14 15 16 17 18
 2 11 -1 21 22 23 24 25 26 27
 3 12 21 -1 31 32 33 34 35 36
 4 13 22 31 -1 41 42 43 44 45
 5 14 23 32 41 -1 51 52 53 54
 6 15 24 33 42 51 -1 61 62 63
 7 16 25 34 43 52 61 -1 71 72
 8 17 26 35 44 53 62 71 -1 81
 9 18 27 36 45 54 63 72 81 -1

